id,product_id,company_id,contract_period,rental_fee,benefit
413,216,3,60개월,"25,900","165,000"
414,217,3,36개월,"94,500","361,000"
415,217,3,48개월,"74,500","380,000"
416,217,3,60개월,"62,900","401,000"
417,218,2,36개월,"59,600","310,000"
418,218,2,48개월,"47,100","300,000"
419,218,2,60개월,"39,800","290,000"
420,218,1,36개월,"49,500","261,000"
421,218,1,48개월,"39,400","279,000"
422,218,1,60개월,"33,400","297,000"
423,219,5,36개월,"68,000","360,000"
424,219,5,48개월,"54,500","385,000"
425,219,5,60개월,"46,500","411,000"
426,219,3,36개월,"95,500","365,000"
427,219,3,48개월,"75,900","387,000"
428,219,3,60개월,"63,900","407,000"
429,219,2,36개월,"95,900","397,000"
430,219,2,48개월,"75,800","382,000"
431,219,2,60개월,"64,100","365,000"
432,219,6,36개월,"113,000","399,000"
433,219,6,48개월,"91,000","428,000"
434,219,6,60개월,"77,000","453,000"
435,219,4,36개월,"86,900","563,000"
436,219,4,48개월,"66,900","578,000"
437,219,4,60개월,"54,900","592,000"
438,220,6,36개월,"150,000","530,000"
439,220,6,48개월,"121,000","570,000"
440,220,6,60개월,"102,000","600,000"
441,220,1,36개월,"117,300","621,000"
442,220,1,48개월,"93,100","657,000"
443,220,1,60개월,"78,700","693,000"
444,220,5,36개월,"83,500","443,000"
445,220,5,48개월,"66,500","470,000"
446,220,5,60개월,"56,500","499,000"
447,220,3,36개월,"129,000","493,000"
448,220,3,48개월,"101,500","518,000"
449,220,3,60개월,"84,000","536,000"
450,220,4,36개월,"147,900","958,000"
451,220,4,48개월,"102,400","884,000"
452,220,4,60개월,"84,400","911,000"
453,221,1,36개월,"105,300","558,000"
454,221,1,48개월,"83,300","585,000"
455,221,1,60개월,"70,500","621,000"
456,221,6,36개월,"112,900","399,000"
457,221,6,48개월,"89,900","423,000"
458,221,6,60개월,"77,900","458,000"
459,222,1,36개월,"79,000","351,000"
460,222,1,48개월,"62,400","369,000"
461,222,1,60개월,"52,500","387,000"
462,222,5,36개월,"74,500","395,000"
463,222,5,48개월,"59,500","421,000"
464,222,5,60개월,"50,000","441,000"
465,222,2,36개월,"86,100","564,000"
466,222,2,48개월,"68,100","546,000"
467,222,2,60개월,"57,600","526,000"
468,222,3,36개월,"79,900","305,000"
469,222,3,48개월,"63,900","326,000"
470,222,3,60개월,"54,900","350,000"
471,222,4,36개월,"89,900","582,000"
472,222,4,48개월,"70,900","612,000"
473,222,4,60개월,"58,900","636,000"
474,223,1,36개월,"109,500","486,000"
475,223,1,48개월,"86,200","504,000"
476,223,1,60개월,"72,700","531,000"
477,223,5,36개월,"102,000","540,000"
478,223,5,48개월,"81,500","576,000"
479,223,5,60개월,"70,000","618,000"
480,223,2,36개월,"110,700","541,000"
481,223,2,48개월,"87,500","524,000"
482,223,2,60개월,"74,000","504,000"
483,223,3,36개월,"110,900","424,000"
484,223,3,48개월,"88,500","451,000"
485,223,3,60개월,"75,900","484,000"
486,223,4,36개월,"122,900","796,000"
487,223,4,48개월,"95,900","828,000"
488,223,4,60개월,"79,900","862,000"
489,224,5,36개월,"35,500","189,000"
490,224,5,48개월,"28,500","202,000"
491,224,5,60개월,"24,500","216,000"
492,225,4,36개월,"82,900","537,000"
493,225,4,48개월,"64,900","560,000"
494,225,4,60개월,"54,900","592,000"
495,225,1,36개월,"61,400","324,000"
496,225,1,48개월,"48,700","342,000"
497,225,1,60개월,"41,300","369,000"
498,225,2,36개월,"68,300","291,000"
499,225,2,48개월,"54,000","280,000"
500,225,2,60개월,"45,600","269,000"
501,181,1,36개월,"92,100","486,000"
502,181,1,48개월,"73,000","513,000"
503,181,1,60개월,"61,900","549,000"
504,181,2,36개월,"108,700","553,000"
505,181,2,48개월,"85,900","531,000"
506,181,2,60개월,"72,600","506,000"
507,182,3,36개월,"27,900","106,000"
508,182,3,48개월,"21,900","111,000"
509,182,3,60개월,"18,900","120,000"
510,183,4,36개월,"48,900","316,000"
511,183,4,48개월,"37,900","327,000"
512,183,4,60개월,"31,900","344,000"
513,183,2,36개월,"59,500","294,000"
514,183,2,48개월,"47,000","281,000"
515,183,2,60개월,"39,800","267,000"
516,184,5,36개월,"61,500","326,000"
517,184,5,48개월,"49,000","346,000"
518,184,5,60개월,"42,000","371,000"
519,184,6,36개월,"63,900","225,000"
520,184,6,48개월,"50,900","239,000"
521,184,6,60개월,"42,600","250,000"
522,184,3,36개월,"66,900","256,000"
523,184,3,48개월,"52,900","270,000"
524,184,3,60개월,"44,900","286,000"
525,184,1,36개월,"63,900","279,000"
526,184,1,48개월,"49,900","297,000"
527,184,1,60개월,"41,900","306,000"
528,185,2,36개월,"47,700","211,000"
529,185,2,48개월,"37,700","202,000"
530,185,2,60개월,"31,900","191,000"
531,185,1,36개월,"38,100","198,000"
532,185,1,48개월,"30,400","216,000"
533,185,1,60개월,"25,600","225,000"
534,186,1,36개월,"111,600","495,000"
535,186,1,48개월,"87,800","513,000"
536,186,1,60개월,"74,300","549,000"
537,186,5,36개월,"108,500","575,000"
538,186,5,48개월,"86,500","611,000"
539,186,5,60개월,"73,500","648,000"
540,187,4,36개월,"66,900","433,000"
541,187,4,48개월,"50,900","439,000"
542,187,4,60개월,"42,900","463,000"
543,188,4,36개월,"66,900","433,000"
544,188,4,48개월,"51,900","448,000"
545,188,4,60개월,"43,900","474,000"
546,189,5,36개월,"48,500","256,000"
547,189,5,48개월,"38,500","271,000"
548,189,5,60개월,"32,500","287,000"
549,189,4,36개월,"37,900","245,000"
550,189,4,48개월,"31,900","275,000"
551,189,4,60개월,"27,900","301,000"
552,189,1,36개월,"48,700","216,000"
553,189,1,48개월,"38,400","225,000"
554,189,1,60개월,"32,600","243,000"
555,190,6,36개월,"74,000","261,000"
556,190,6,48개월,"59,900","282,000"
557,190,6,60개월,"50,900","299,000"
558,191,4,36개월,"17,900","115,000"
559,191,4,48개월,"13,900","120,000"
560,191,4,60개월,"11,900","128,000"
561,192,7,36개월,"85,800","233,000"
562,192,7,48개월,"69,800","237,000"
563,192,7,60개월,"59,200","242,000"
564,193,7,36개월,"146,800","400,000"
565,193,7,48개월,"119,700","407,000"
566,193,7,60개월,"101,600","415,000"
567,194,3,36개월,"65,900","252,000"
568,194,3,48개월,"52,900","270,000"
569,194,3,60개월,"44,000","280,000"
570,195,3,36개월,"98,900","378,000"
571,195,3,48개월,"78,500","400,000"
572,195,3,60개월,"66,500","424,000"
573,195,5,36개월,"70,500","373,000"
574,195,5,48개월,"56,000","396,000"
575,195,5,60개월,"48,000","424,000"
576,196,6,36개월,"205,000","724,000"
577,196,6,48개월,"165,000","777,000"
578,196,6,60개월,"141,000","830,000"
579,196,2,36개월,"210,400","1,106,000"
580,196,2,48개월,"166,300","1,063,000"
581,196,2,60개월,"140,600","1,014,000"
582,196,1,36개월,"197,500","1,044,000"
583,196,1,48개월,"156,400","1,107,000"
584,196,1,60개월,"132,300","1,170,000"
585,197,4,36개월,"26,500","171,000"
586,197,4,48개월,"20,000","172,000"
587,197,4,60개월,"16,900","182,000"
588,198,3,36개월,"29,900","114,000"
589,198,3,48개월,"23,900","122,000"
590,198,3,60개월,"19,900","126,000"
591,198,4,36개월,"27,900","180,000"
592,198,4,48개월,"21,900","189,000"
593,198,4,60개월,"18,900","204,000"
594,198,1,36개월,"28,200","126,000"
595,198,1,48개월,"22,300","135,000"
596,198,1,60개월,"18,600","135,000"
597,199,5,36개월,"86,500","458,000"
598,199,5,48개월,"68,500","483,000"
599,199,5,60개월,"58,500","516,000"
600,200,5,36개월,"27,500","145,000"
601,200,5,48개월,"21,500","151,000"
602,200,5,60개월,"18,500","162,000"
603,201,1,36개월,"200,200","882,000"
604,201,1,48개월,"158,700","936,000"
605,201,1,60개월,"133,600","981,000"
606,201,5,36개월,"192,000","1,017,000"
607,201,5,48개월,"153,000","1,080,000"
608,201,5,60개월,"130,000","1,148,000"
609,202,5,36개월,"207,000","1,097,000"
610,202,5,48개월,"165,000","1,165,000"
611,202,5,60개월,"140,000","1,237,000"
612,202,1,36개월,"217,100","963,000"
613,202,1,48개월,"171,500","1,008,000"
614,202,1,60개월,"144,400","1,062,000"
615,203,7,36개월,"93,900","255,000"
616,203,7,48개월,"76,700","261,000"
617,203,7,60개월,"65,100","266,000"
618,204,7,36개월,"117,900","321,000"
619,204,7,48개월,"96,100","327,000"
620,204,7,60개월,"81,600","333,000"
621,205,1,36개월,"59,800","261,000"
622,205,1,48개월,"47,400","279,000"
623,205,1,60개월,"40,000","297,000"
624,205,5,36개월,"64,500","341,000"
625,205,5,48개월,"51,500","363,000"
626,205,5,60개월,"43,500","383,000"
627,206,4,36개월,"118,900","770,000"
628,206,4,48개월,"92,900","802,000"
629,206,4,60개월,"77,900","841,000"
630,206,1,36개월,"110,400","486,000"
631,206,1,48개월,"87,200","513,000"
632,206,1,60개월,"73,500","540,000"
633,206,5,36개월,"112,500","596,000"
634,206,5,48개월,"89,500","632,000"
635,206,5,60개월,"76,500","675,000"
636,207,7,36개월,"96,300","262,000"
637,207,7,48개월,"78,600","267,000"
638,207,7,60개월,"66,800","273,000"
639,208,7,36개월,"55,500","151,000"
640,208,7,48개월,"45,100","153,000"
641,208,7,60개월,"38,300","156,000"
642,209,7,36개월,"113,900","310,000"
643,209,7,48개월,"92,700","315,000"
644,209,7,60개월,"78,600","321,000"
645,210,7,36개월,"151,600","413,000"
646,210,7,48개월,"123,600","421,000"
647,210,7,60개월,"104,900","428,000"
648,211,4,60개월,"10,900","47,000"
649,212,4,36개월,"26,900","161,000"
650,212,4,48개월,"20,900","163,000"
651,212,4,60개월,"17,000","162,000"
652,213,3,36개월,"39,900","152,000"
653,213,3,48개월,"31,900","162,000"
654,213,3,60개월,"26,900","171,000"
655,214,1,36개월,"74,200","324,000"
656,214,1,48개월,"58,600","342,000"
657,214,1,60개월,"49,400","360,000"
658,215,3,36개월,"28,900","110,000"
659,215,3,48개월,"23,900","122,000"
660,215,3,60개월,"20,900","133,000"
661,216,3,36개월,"38,900","148,000"
662,216,3,48개월,"30,900","157,000"
663,216,3,60개월,"25,900","165,000"
664,217,3,36개월,"94,500","361,000"
665,217,3,48개월,"74,500","380,000"
666,217,3,60개월,"62,900","401,000"
667,218,2,36개월,"59,600","310,000"
668,218,2,48개월,"47,100","300,000"
669,218,2,60개월,"39,800","290,000"
670,218,1,36개월,"49,500","261,000"
671,218,1,48개월,"39,400","279,000"
672,218,1,60개월,"33,400","297,000"
673,219,5,36개월,"68,000","360,000"
674,219,5,48개월,"54,500","385,000"
675,219,5,60개월,"46,500","411,000"
676,219,3,36개월,"95,500","365,000"
677,219,3,48개월,"75,900","387,000"
678,219,3,60개월,"63,900","407,000"
679,219,2,36개월,"95,900","397,000"
680,219,2,48개월,"75,800","382,000"
681,219,2,60개월,"64,100","365,000"
682,219,6,36개월,"113,000","399,000"
683,219,6,48개월,"91,000","428,000"
684,219,6,60개월,"77,000","453,000"
685,219,4,36개월,"86,900","563,000"
686,219,4,48개월,"66,900","578,000"
687,219,4,60개월,"54,900","592,000"
688,220,6,36개월,"150,000","530,000"
689,220,6,48개월,"121,000","570,000"
690,220,6,60개월,"102,000","600,000"
691,220,1,36개월,"117,300","621,000"
692,220,1,48개월,"93,100","657,000"
