id,name,model,brand,main_category,sub_category,image_url,detail_url,options
26,LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),86UT931C0NA,LG,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/201203d3f6ad635fac4c9b2427895e5f_1.png,http://rentalplace.kr/html/dh_prod/prod_view/24483,"{'화면크기': '80인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '7만원대', '규격': '(스탠드 제외) 1927 x 1104 x 59.9 mm\n(스탠드 포함) 1927 x 1164 x 362 mm'}"
27,LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),86NANO90AK_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/da3b123340b86b4e1050c031acfb381d.png,http://rentalplace.kr/html/dh_prod/prod_view/26894,"{'화면크기': '80인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '6만원대', '규격': '(스탠드 포함) 1927 x 1167 x 362 mm\n(스탠드 제외) 1927 x 1104 x 59.9 mm'}"
28,LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),OLED55B4K_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/0892d4d78d9afae4fc11ac481eda1bfd.png,http://rentalplace.kr/html/dh_prod/prod_view/27205,"{'화면크기': '50인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '3만원대', '규격': '(스탠드 제외) 1228 x 708 x 45.9 mm\n(스탠드 포함) 1228 x 772 x 235 mm'}"
29,LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),OLED65G4K_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/257edebd4e1c77f07ce19fb63c8f9144_1.png,http://rentalplace.kr/html/dh_prod/prod_view/27209,"{'화면크기': '60인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '7만원대', '규격': '(스탠드 제외) 1441 x 826 x 24.3 mm\n(스탠드 포함) 1441 x 865~910 x 263 mm'}"
30,LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),OLED77B5S_LG케어,LG구독,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/78bfe6075aa9671d66cb644a613c4057_2.png,http://rentalplace.kr/html/dh_prod/prod_view/26603,"{'화면크기': '70인치대', '형태': '스탠드 또는 벽걸이', '타입': 'OLED TV', '월렌탈료': '9만원이상', '규격': '(스탠드 제외) 1719 x 989 x 50.9 mm\n(스탠드 포함) 1719 x 1057 x 319 mm'}"
31,대우써머스 LED 24인치 (LHDK2402FB) 스탠드형,LHDK2402FB,대우써머스,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/ddd3e9e314c3dc47a5722f0270e6fa2c_2.jpg,http://rentalplace.kr/html/dh_prod/prod_view/14114,"{'화면크기': '20인치대', '형태': '스탠드만', '타입': 'LED TV', '월렌탈료': '1만원미만', '규격': '556 x 329 x 81 mm\n556 x 367 x 168 mm'}"
32,대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LHDK6501US,대우써머스,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/ddd3e9e314c3dc47a5722f0270e6fa2c_1_1.jpg,http://rentalplace.kr/html/dh_prod/prod_view/14113,"{'화면크기': '60인치대', '형태': '스탠드 또는 벽걸이', '타입': 'UHD TV', '월렌탈료': '2만원대', '규격': '1456 x 834 x 76 mm\n1456 x 886 x 285 mm'}"
33,더함 구글 OS QLED VRR 144Hz 65인치+이동형스탠드 화이트 (UA651Q-삼탠바이미),UA651Q-삼탠바이미,더함,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/7b975d43419e9c53c61d02afb9ce6c31.png,http://rentalplace.kr/html/dh_prod/prod_view/23654,"{'화면크기': '60인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '2만원대', '제품정보': '상세페이지 참고'}"
34,더함 스마트 구글 5.0 OS 안드로이드 14 QLED 85인치 120Hz (UA851QLED) (스탠드 or 벽걸이형),UA851QLED,더함,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/ddfab7cc95f26b69ee7b174cf200188d.png,http://rentalplace.kr/html/dh_prod/prod_view/25330,"{'화면크기': '80인치대', '형태': '스탠드 또는 벽걸이', '타입': 'QLED TV', '월렌탈료': '4만원대', '규격': '(스탠드 제외) 1889.6 x 1079.5 x 91.1 mm\n(스탠드 포함) 1889.6 x 1162.4 x 396.9 mm'}"
35,더함 스마트 구글 5.0 OS 안드로이드 14 QLED TV 55인치 120Hz+이동형스탠드 (G554Q-5.0-삼텐바이미),G554Q-5.0-삼텐바이미,더함,TV·IT,TV,https://rentalshop.site/_data/file/goodsImages/e59b1123b65cd6b60500120c61d7e0b3.jpg,http://rentalplace.kr/html/dh_prod/prod_view/25323,"{'화면크기': '50인치대', '형태': '스탠드만', '타입': 'QLED TV', '월렌탈료': '2만원대', '제품정보': '상세페이지 참고'}"
