name,company,contract_period,rental_fee,benefit
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),LG헬로비전,60개월,"77,900","841,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,36개월,"110,400","486,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,48개월,"87,200","513,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),현대렌탈서비스,60개월,"73,500","540,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),BS ON,36개월,"112,500","596,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),BS ON,48개월,"89,500","632,000"
LG UHD TV 86인치 (86UT931C0NA) (스탠드 or 벽걸이),BS ON,60개월,"76,500","675,000"
LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,36개월,"96,300","262,000"
LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,48개월,"78,600","267,000"
LG 나노셀 TV (스탠드 or 벽걸이) 86인치 (86NANO90AK),LG구독,60개월,"66,800","273,000"
LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,36개월,"55,500","151,000"
LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,48개월,"45,100","153,000"
LG 올레드 OLED TV 55인치 (OLED55B4K) (스탠드 or 벽걸이),LG구독,60개월,"38,300","156,000"
LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,36개월,"113,900","310,000"
LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,48개월,"92,700","315,000"
LG 올레드 OLED TV 65인치 (OLED65G4K) (스탠드 or 벽걸이),LG구독,60개월,"78,600","321,000"
LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,36개월,"151,600","413,000"
LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,48개월,"123,600","421,000"
LG 올레드 OLED TV 77인치 (OLED77B5S) (스탠드 or 벽걸이),LG구독,60개월,"104,900","428,000"
대우써머스 LED 24인치 (LHDK2402FB) 스탠드형,LG헬로비전,60개월,"10,900","47,000"
대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,36개월,"26,900","161,000"
대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,48개월,"20,900","163,000"
대우써머스 UHD 65인치 (LHDK6501US) 스탠드 or 벽걸이형,LG헬로비전,60개월,"17,000","162,000"
더함 구글 OS QLED VRR 144Hz 65인치+이동형스탠드 화이트 (UA651Q-삼탠바이미),스마트렌탈,36개월,"39,900","152,000"
